iter	Passed	Remaining
670	12798	6275
671	12817	6256
672	12836	6236
673	12854	6217
674	12872	6198
675	12888	6177
676	12905	6157
677	12922	6137
678	12941	6118
679	12959	6098
680	12976	6078
681	12993	6058
682	13010	6038
683	13027	6018
684	13045	5998
685	13062	5979
686	13079	5959
687	13100	5940
688	13119	5921
689	13138	5903
690	13157	5883
691	13176	5864
692	13208	5851
693	13228	5832
694	13247	5813
695	13266	5794
696	13285	5775
697	13302	5755
698	13320	5735
699	13339	5716
700	13358	5698
701	13378	5679
702	13403	5662
703	13420	5642
704	13438	5623
705	13456	5603
706	13475	5584
707	13493	5565
708	13512	5546
709	13531	5527
710	13550	5507
711	13568	5488
712	13587	5469
713	13619	5455
714	13636	5435
715	13653	5415
716	13672	5396
717	13692	5377
718	13712	5359
719	13729	5339
720	13748	5320
721	13767	5300
722	13786	5281
723	13803	5262
724	13823	5243
725	13841	5223
726	13859	5204
727	13878	5185
728	13896	5166
729	13916	5147
730	13935	5128
731	13954	5109
732	13971	5089
733	13990	5070
734	14009	5051
735	14029	5032
736	14048	5013
737	14066	4993
738	14083	4974
739	14101	4954
740	14122	4936
741	14139	4916
742	14159	4897
743	14176	4878
744	14194	4858
745	14212	4838
746	14230	4819
747	14249	4800
748	14265	4780
749	14283	4761
750	14302	4742
751	14321	4723
752	14340	4703
753	14358	4684
754	14378	4665
755	14394	4645
756	14414	4627
757	14430	4607
758	14447	4587
759	14466	4568
760	14482	4548
761	14500	4528
762	14518	4509
763	14538	4490
764	14556	4471
765	14575	4452
766	14595	4433
767	14614	4414
768	14632	4395
769	14652	4376
770	14671	4357
771	14691	4338
772	14709	4319
773	14728	4300
774	14746	4281
775	14765	4262
776	14783	4242
777	14800	4223
778	14821	4204
779	14839	4185
780	14858	4166
781	14880	4148
782	14897	4128
783	14914	4109
784	14934	4090
785	14952	4071
786	14969	4051
787	15003	4036
788	15030	4019
789	15057	4002
790	15073	3982
791	15090	3963
792	15108	3943
793	15125	3924
794	15142	3904
795	15159	3885
796	15178	3866
797	15196	3846
798	15214	3827
799	15233	3808
800	15250	3788
801	15267	3769
802	15284	3749
803	15303	3730
804	15320	3711
805	15337	3691
806	15356	3672
807	15384	3655
808	15407	3637
809	15424	3618
810	15441	3598
811	15460	3579
812	15482	3561
813	15502	3542
814	15524	3524
815	15544	3505
816	15562	3485
817	15582	3467
818	15602	3448
819	15627	3430
820	15660	3414
821	15684	3396
822	15703	3377
823	15721	3358
824	15739	3338
825	15759	3319
826	15776	3300
827	15793	3280
828	15811	3261
829	15829	3242
830	15845	3222
831	15863	3203
832	15881	3183
833	15900	3164
834	15917	3145
835	15937	3126
836	15954	3106
837	15971	3087
838	15988	3068
839	16008	3049
840	16025	3029
841	16043	3010
842	16062	2991
843	16080	2972
844	16096	2952
845	16113	2933
846	16131	2913
847	16148	2894
848	16166	2875
849	16182	2855
850	16199	2836
851	16216	2816
852	16235	2797
853	16252	2778
854	16269	2759
855	16286	2739
856	16305	2720
857	16320	2701
858	16339	2682
859	16358	2663
860	16377	2643
861	16394	2624
862	16412	2605
863	16428	2586
864	16446	2566
865	16465	2547
866	16483	2528
867	16501	2509
868	16519	2490
869	16538	2471
870	16557	2452
871	16575	2433
872	16593	2413
873	16612	2394
874	16632	2376
875	16651	2357
876	16669	2337
877	16688	2318
878	16708	2300
879	16725	2280
880	16743	2261
881	16762	2242
882	16779	2223
883	16796	2204
884	16815	2185
885	16833	2165
886	16851	2146
887	16869	2127
888	16886	2108
889	16904	2089
890	16922	2070
891	16940	2051
892	16957	2031
893	16978	2013
894	16998	1994
895	17019	1975
896	17038	1956
897	17057	1937
898	17076	1918
899	17093	1899
900	17114	1880
901	17132	1861
902	17151	1842
903	17170	1823
904	17188	1804
905	17205	1785
906	17223	1766
907	17243	1747
908	17259	1727
909	17277	1708
910	17294	1689
911	17312	1670
912	17330	1651
913	17348	1632
914	17367	1613
915	17385	1594
916	17403	1575
917	17421	1556
918	17438	1537
919	17454	1517
920	17472	1498
921	17490	1479
922	17508	1460
923	17528	1441
924	17547	1422
925	17565	1403
926	17584	1384
927	17602	1365
928	17621	1346
929	17655	1328
930	17673	1309
931	17693	1290
932	17713	1272
933	17731	1252
934	17750	1233
935	17768	1214
936	17786	1195
937	17804	1176
938	17825	1157
939	17845	1139
940	17863	1120
941	17904	1102
942	17924	1083
943	17945	1064
944	17962	1045
945	17981	1026
946	18001	1007
947	18018	988
948	18037	969
949	18058	950
950	18077	931
951	18096	912
952	18121	893
953	18143	874
954	18161	855
955	18182	836
956	18202	817
957	18221	798
958	18243	779
959	18263	760
960	18284	742
961	18301	722
962	18319	703
963	18337	684
964	18360	665
965	18380	646
966	18399	627
967	18420	608
968	18441	589
969	18468	571
970	18492	552
971	18516	533
972	18534	514
973	18552	495
974	18571	476
975	18593	457
976	18611	438
977	18630	419
978	18651	400
979	18669	381
980	18687	361
981	18706	342
982	18726	323
983	18744	304
984	18763	285
985	18780	266
986	18796	247
987	18812	228
988	18832	209
989	18851	190
990	18881	171
991	18906	152
992	18925	133
993	18943	114
994	18961	95
995	18978	76
996	18997	57
997	19017	38
998	19036	19
999	19056	0
